ID,Pos,Player,Team,Eligible,Status,Age,Opponent,AB,H,R,HR,RBI,SO,SB,OPS,GP,FANTRAXID,IDFANGRAPHS,MLBID,wOBA,xwOBA,BABIP+,K%,BB%,wRC+,PA,Contact%,Swing%,Pitches,Z-Swing%,O-Swing%,HardHit%,Zone%,est_woba_minus_woba_diff,est_slg_minus_slg_diff,est_ba_minus_ba_diff,bip,brl_pa,ev95plus,avg_hit_speed,avg_hit_angle,ev50,Swings,Swing Decisions,Z-Pitches,Z-Swings,O-Pitches,O-Swings,team_name
*04my4*,C,Cal Raleigh,SEA,C,Act,27,TEX Fri 9:10PM,488,105,65,30,92,163,6,0.74,139,*04my4*,21534,663728.0,0.318,0.342,87.0,0.29100000000000004,0.10800000000000001,113.0,557.0,0.7290000000000001,0.523,2238.0,0.76,0.361,0.491,0.406,-0.024,-0.0489999999999999,-0.014,330.0,9.3,162.0,91.3,21.2,102.2,1170.474,39.900000000000006,908.628,690.55728,1329.3719999999998,479.9032919999999,Bang Bang Scissor Gang
*01fh9*,1B,Bryce Harper,PHI,1B,Act,31,NYM Fri 5:40PM,496,143,76,26,79,117,5,0.899,130,*01fh9*,11579,547180.0,0.38,0.362,112.0,0.20600000000000002,0.12,146.0,569.0,0.75,0.523,2195.0,0.804,0.358,0.47100000000000003,0.37,0.018,0.035,0.0139999999999999,382.0,6.5,181.0,91.1,13.6,102.4,1147.9850000000001,44.60000000000001,812.15,652.9686,1382.85,495.0602999999999,Bang Bang Scissor Gang
*024m0*,2B,Jose Altuve,HOU,2B,Act,34,@LAA Fri 8:38PM,576,174,86,19,62,110,20,0.806,141,*024m0*,5417,514888.0,0.351,0.318,121.0,0.17600000000000002,0.069,131.0,625.0,0.7959999999999999,0.513,2245.0,0.703,0.4,0.307,0.373,0.0329999999999999,0.042,0.0379999999999999,466.0,5.0,144.0,86.3,14.6,97.2,1151.685,30.299999999999994,837.385,588.681655,1407.615,563.046,Bang Bang Scissor Gang
*04eig*,3B,Jose Caballero,TB,"2B,3B,SS",Act,28,@CLE Fri 6:10PM,405,95,53,9,44,123,40,0.657,126,*04eig*,23401,676609.0,0.284,0.275,108.0,0.27899999999999997,0.057,87.0,441.0,0.728,0.489,1726.0,0.6679999999999999,0.377,0.263,0.386,0.0089999999999999,0.0319999999999999,0.005,285.0,3.2,75.0,84.0,14.6,96.5,844.014,29.099999999999994,666.236,445.04564799999997,1059.764,399.53102799999994,Bang Bang Scissor Gang
*03ae8*,SS,Dansby Swanson,CHC,SS,Act,30,@COL Fri 7:40PM,475,111,70,14,58,132,16,0.683,135,*03ae8*,18314,621020.0,0.299,0.325,99.0,0.25,0.09300000000000001,93.0,529.0,0.728,0.48700000000000004,2120.0,0.74,0.28300000000000003,0.42200000000000004,0.446,-0.026,-0.0479999999999999,-0.0139999999999999,346.0,5.9,146.0,89.2,10.0,100.1,1032.44,45.699999999999996,945.52,699.6848,1174.48,332.37784000000005,Bang Bang Scissor Gang
*03qo2*,OF,LaMonte Wade Jr.,SF,"1B,OF",Act,30,SD Fri 9:15PM,285,76,41,6,29,80,1,0.778,104,*03qo2*,18126,664774.0,0.343,0.36,116.0,0.22899999999999998,0.166,123.0,350.0,0.782,0.405,1448.0,0.648,0.23399999999999999,0.418,0.414,-0.0169999999999999,-0.0529999999999999,0.003,208.0,5.4,87.0,90.1,11.9,100.9,586.44,41.400000000000006,599.472,388.457856,848.5280000000001,198.555552,Bang Bang Scissor Gang
*03nru*,OF,Jesus Sanchez,MIA,OF,Act,26,@WSH Fri 5:45PM,435,107,50,17,59,122,14,0.722,134,*03nru*,19913,660821.0,0.312,0.347,102.0,0.257,0.069,98.0,475.0,0.7140000000000001,0.527,1735.0,0.742,0.386,0.516,0.39799999999999996,-0.0349999999999999,-0.07,-0.023,316.0,8.2,164.0,92.9,8.0,104.6,914.345,35.6,690.53,512.37326,1044.4700000000003,403.1654200000001,Bang Bang Scissor Gang
*04b02*,OF,Seiya Suzuki,CHC,OF,Act,30,@COL Fri 7:40PM,464,127,69,20,66,145,14,0.832,119,*04b02*,30116,673548.0,0.357,0.34,120.0,0.276,0.099,133.0,526.0,0.775,0.39899999999999997,2246.0,0.626,0.24,0.486,0.413,0.0169999999999999,0.0239999999999999,0.024,323.0,7.4,157.0,91.6,16.4,102.5,896.1539999999999,38.6,927.598,580.676348,1318.4019999999998,316.4164799999999,Bang Bang Scissor Gang
*03rmz*,UT,Keibert Ruiz,WSH,C,Act,26,MIA Fri 5:45PM,412,94,45,13,50,48,2,0.633,115,*03rmz*,19610,660688.0,0.273,0.283,77.0,0.109,0.035,74.0,432.0,0.885,0.522,1471.0,0.6890000000000001,0.40399999999999997,0.255,0.41600000000000004,-0.0099999999999999,0.008,-0.0229999999999999,365.0,3.0,94.0,85.5,20.1,95.6,767.8620000000001,28.500000000000007,611.936,421.62390400000004,859.064,347.061856,Bang Bang Scissor Gang
*0414g*,UT,Luis Garcia,WSH,2B,Act,24,MIA Fri 5:45PM,455,128,51,15,63,78,21,0.759,127,*0414g*,20391,671277.0,0.329,0.336,107.0,0.163,0.054000000000000006,112.0,478.0,0.815,0.512,1725.0,0.6920000000000001,0.385,0.40399999999999997,0.41200000000000003,-0.006,-0.019,0.0,374.0,6.1,153.0,88.8,8.6,100.1,883.2,30.700000000000006,710.7,491.8044000000001,1014.3,390.5055,Bang Bang Scissor Gang
*02mzg*,3B,Max Muncy,LAD,3B,Res,34,@ATL Fri 6:20PM,191,44,37,14,39,66,0,0.859,59,*02mzg*,13301,571970.0,0.361,0.356,87.0,0.282,0.145,134.0,234.0,0.701,0.40700000000000003,971.0,0.6459999999999999,0.247,0.473,0.402,0.005,0.028,-0.0059999999999999,131.0,6.8,62.0,91.4,27.8,101.5,395.197,39.89999999999999,390.34200000000004,252.160932,580.658,143.422526,Bang Bang Scissor Gang
*02jh6*,UT,Eugenio Suarez,ARI,3B,Res,33,MIL Fri 8:40PM,508,130,84,28,92,151,2,0.808,142,*02jh6*,12552,553993.0,0.345,0.335,102.0,0.263,0.08199999999999999,121.0,574.0,0.731,0.47,2274.0,0.691,0.299,0.425,0.436,0.0099999999999999,0.0299999999999999,0.007,367.0,7.1,156.0,89.2,19.6,100.6,1068.78,39.199999999999996,991.4639999999999,685.1016239999999,1282.536,383.478264,Bang Bang Scissor Gang
*02xic*,OF,Teoscar Hernandez,LAD,OF,Res,31,@ATL Fri 6:20PM,531,142,75,28,87,167,11,0.821,139,*02xic*,13066,606192.0,0.352,0.34,115.0,0.285,0.08,128.0,586.0,0.6890000000000001,0.513,2361.0,0.764,0.32899999999999996,0.46399999999999997,0.42100000000000004,0.0119999999999999,0.007,0.018,365.0,8.9,170.0,90.7,9.8,102.6,1211.193,43.50000000000001,993.9810000000001,759.4014840000001,1367.019,449.74925099999996,Bang Bang Scissor Gang
*02yc4*,UT,Shohei Ohtani,LAD,"UT,SP",Res,30,@ATL Fri 6:20PM,569,166,116,47,104,146,48,0.992,143,*02yc4*,19755,660271.0,0.412,0.437,106.0,0.223,0.113,169.0,656.0,0.737,0.475,2562.0,0.7040000000000001,0.31,0.589,0.42,-0.025,-0.037,-0.02,428.0,13.4,255.0,95.6,16.7,106.5,1216.95,39.400000000000006,1076.04,757.5321600000001,1485.9600000000003,460.64760000000007,Bang Bang Scissor Gang
*03avk*,UT,Luis Rengifo,LAA,"2B,3B,SS,OF",IR,27,HOU Fri 8:38PM,283,85,41,6,30,44,24,0.763,78,*03avk*,19858,650859.0,0.335,0.293,119.0,0.145,0.053,116.0,304.0,0.7909999999999999,0.56,1086.0,0.797,0.402,0.325,0.4,0.042,0.064,0.0389999999999999,240.0,2.0,78.0,87.0,6.7,97.0,608.1600000000001,39.5,434.40000000000003,346.21680000000003,651.6,261.94320000000005,Bang Bang Scissor Gang
*01sfi*,UT,DJ LeMahieu,NYY,"1B,3B",IR,36,BOS Fri 6:05PM,201,41,19,2,26,35,0,0.527,67,*01sfi*,9874,518934.0,0.239,0.302,80.0,0.154,0.083,51.0,228.0,0.851,0.444,846.0,0.596,0.322,0.376,0.445,-0.063,-0.1129999999999999,-0.044,173.0,4.4,65.0,88.5,1.9,98.3,375.624,27.399999999999995,376.47,224.37612000000001,469.53,151.18866,Bang Bang Scissor Gang
*03nri*,OF,Lourdes Gurriel Jr.,ARI,OF,IR,30,MIL Fri 8:40PM,486,133,69,17,70,98,7,0.744,125,*03nri*,19238,666971.0,0.321,0.32,105.0,0.188,0.052000000000000005,105.0,522.0,0.812,0.508,1980.0,0.723,0.35100000000000003,0.40299999999999997,0.42200000000000004,0.001,0.0,0.005,392.0,5.2,159.0,88.5,15.9,99.7,1005.84,37.199999999999996,835.5600000000001,604.10988,1144.4399999999998,401.69844,Bang Bang Scissor Gang
*01s8u*,OF,Mike Trout,LAA,OF,IR,33,HOU Fri 8:38PM,109,24,17,10,14,27,6,0.867,29,*01s8u*,10155,545361.0,0.365,0.406,68.0,0.214,0.127,137.0,126.0,0.828,0.425,574.0,0.6779999999999999,0.214,0.415,0.455,-0.041,-0.0579999999999999,-0.053,82.0,11.1,34.0,89.2,25.2,101.8,243.95,46.4,261.17,177.07326,312.83,66.94561999999999,Bang Bang Scissor Gang
*04q56*,C,Logan OHoppe,LAA,C,Act,24,HOU Fri 8:38PM,437,104,56,19,54,142,2,0.7,123,*04q56*,24729,681351.0,0.305,0.334,107.0,0.299,0.059000000000000004,96.0,475.0,0.693,0.52,1812.0,0.738,0.381,0.465,0.391,-0.029,-0.062,-0.018,297.0,7.4,138.0,90.3,14.5,101.3,942.24,35.699999999999996,708.4920000000001,522.8670960000001,1103.508,420.436548,Aidand4
*04t9b*,1B,Michael Busch,CHC,"1B,3B",Act,26,@COL Fri 7:40PM,453,113,68,17,56,149,2,0.766,137,*04t9b*,26319,683737.0,0.333,0.315,112.0,0.289,0.11199999999999999,116.0,516.0,0.741,0.449,2148.0,0.705,0.27699999999999997,0.384,0.402,0.018,0.016,0.0289999999999999,307.0,6.4,118.0,89.6,16.2,99.7,964.452,42.8,863.4960000000001,608.76468,1284.504,355.80760799999996,Aidand4
