ID,Pos,Player,Team,Eligible,Status,Age,Opponent,IP,SV,HLD,K,ERA,WHIP,W+QS,GP,FANTRAXID,IDFANGRAPHS,MLBID,TBF,FIP,xFIP,SIERA,K-BB%,HardHit%,BABIP+,Stuff+,Location+,Pitching+,CSW%,Pitches,K%,BB%,est_woba_minus_woba_diff,era_minus_xera_diff,bip,brl_percent,ev95plus,avg_hit_speed,avg_hit_angle,team_name
*05ge9*,SP,Shota Imanaga,CHC,SP,Act,30,@WSH Sun 12:35PM,146.1,0,0,148,3.14,1.052,26,25,*05ge9*,33829,684007.0,591.0,3.73,3.72,3.55,0.212,0.381,93.0,90.0,105.0,103.0,0.272,2217.0,0.25,0.039,-0.012,-0.443,417.0,8.6,161.0,88.3,18.7,Bang Bang Scissor Gang
*03sef*,SP,Seth Lugo,KC,SP,Act,34,@HOU Sun 1:10PM,179.0,0,0,155,3.12,1.117,33,28,*03sef*,12447,607625.0,731.0,3.42,3.89,4.02,0.152,0.4,98.0,97.0,100.0,99.0,0.281,2683.0,0.212,0.06,-0.025,-0.803,523.0,8.2,209.0,89.0,10.4,Bang Bang Scissor Gang
*031bl*,RP,Kyle Finnegan,WSH,RP,Act,32,CHC Sun 12:35PM,53.2,34,0,51,3.52,1.267,3,55,*031bl*,15009,640448.0,226.0,4.51,3.84,3.78,0.142,0.506,92.0,99.0,106.0,102.0,0.264,880.0,0.226,0.084,-0.024,-0.918,156.0,7.7,79.0,91.9,10.7,Bang Bang Scissor Gang
*02n2x*,RP,Paul Sewald,ARI,RP,Act,34,LAD Sun 3:10PM,36.1,16,1,38,4.46,1.183,1,39,*02n2x*,13892,623149.0,153.0,4.3,4.42,3.62,0.183,0.431,95.0,118.0,100.0,103.0,0.28300000000000003,576.0,0.248,0.065,0.004,0.309,102.0,9.8,44.0,90.4,24.8,Bang Bang Scissor Gang
*04aqc*,P,David Bednar,PIT,RP,Act,29,@CLE Sun 12:40PM,47.0,23,0,49,6.32,1.426,3,50,*04aqc*,19569,670280.0,214.0,4.64,4.5,3.86,0.145,0.396,102.0,129.0,99.0,106.0,0.27899999999999997,839.0,0.22899999999999998,0.084,0.001,1.689,143.0,10.5,57.0,89.8,16.8,Bang Bang Scissor Gang
*01gya*,P,Aroldis Chapman,PIT,RP,Act,36,@CLE Sun 12:40PM,51.2,5,21,84,3.48,1.335,5,57,*01gya*,10233,547973.0,219.0,3.47,3.3,3.39,0.21,0.40399999999999997,101.0,133.0,95.0,104.0,0.317,960.0,0.374,0.16399999999999998,0.0109999999999999,0.373,99.0,8.1,40.0,90.2,11.5,Bang Bang Scissor Gang
*01scl*,P,Craig Kimbrel,BAL,RP,Act,36,@COL Sun 2:10PM,47.2,23,4,66,3.78,1.196,7,52,*01scl*,6655,518886.0,203.0,4.26,3.89,3.36,0.19699999999999998,0.44299999999999995,86.0,114.0,97.0,101.0,0.299,850.0,0.325,0.128,-0.023,-0.144,106.0,10.4,47.0,91.4,18.1,Bang Bang Scissor Gang
*03h90*,P,Hector Neris,HOU,RP,Act,35,KC Sun 1:10PM,46.2,17,3,48,3.86,1.457,9,49,*03h90*,11804,593576.0,201.0,3.98,4.54,4.29,0.109,0.43700000000000006,103.0,86.0,97.0,98.0,0.244,811.0,0.239,0.129,-0.012,-0.825,125.0,9.6,55.0,88.8,13.0,Bang Bang Scissor Gang
*041rd*,SP,Corbin Burnes,BAL,SP,Res,29,@COL Sun 2:10PM,164.1,0,0,150,3.23,1.126,31,27,*041rd*,19361,669203.0,672.0,3.7,3.61,3.82,0.16399999999999998,0.321,96.0,117.0,103.0,107.0,0.281,2558.0,0.223,0.06,-0.0079999999999999,-0.149,480.0,6.5,154.0,87.6,10.8,Bang Bang Scissor Gang
*03deg*,SP,Justin Steele,CHC,SP,Res,29,@WSH Sun 12:35PM,128.0,0,0,131,3.09,1.086,16,22,*03deg*,17312,657006.0,527.0,3.13,3.59,3.69,0.184,0.327,92.0,100.0,103.0,102.0,0.278,1928.0,0.249,0.065,0.006,0.314,358.0,4.2,119.0,87.1,13.1,Bang Bang Scissor Gang
