Team,R,HR,RBI,SO,SB,OPS,wOBA,xwOBA,xwOBA-wOBA,wRC+,Brl/PA,Avg EV,EV50,BABIP+,xSLG-SLG,K%,Contact%,Z-Swing%,O-Swing%,Swing Decisions,HardHit%
Bang Bang Scissor Gang,921,280,946,1598,176,0.7758433217993079,0.3341292733564014,0.33657356401384086,0.002444290657439452,116.16096885813148,6.550532871972317,89.45382736156351,100.35940553745928,103.02259771986971,-0.004610795847750864,22.11764705882353,76.84164974651435,70.44979861890835,32.39335097985998,38.056447639048365,0.4137896986970684
Aidand4,887,272,852,1764,132,0.7635343130261092,0.32803367099443576,0.3358420602083036,0.007808389213867839,111.69810243972036,7.245726922528179,90.27869848156182,101.35396963123642,105.59370932754881,-0.014258239406477365,25.16764160365245,74.70854567694407,68.90570385728402,31.77066486592564,37.135038991358385,0.43652624728850326
Montgomery Biscuits,876,277,867,1286,90,0.7986022981644529,0.34349992538427093,0.3472541411729592,0.0037542157886882865,123.42381734069542,6.927428741978809,89.97532386126201,100.85758462181363,102.02590890096114,-0.0015026115505148308,19.191165497686914,78.21812934078407,69.23055706071085,31.91982428298298,37.31073277772787,0.42149498537400754
Florence Y'alls,834,237,774,1602,140,0.7746913202933985,0.33229813569682154,0.33313737775061125,0.0008392420537897127,113.46363080684597,6.888630806845965,90.2289621318373,101.35441795231415,107.20874240299206,0.0010317848410758004,24.480440097799512,75.67097271403631,69.12126004182052,30.65244826723899,38.468811774581525,0.4342073398784479
The Authority,688,148,609,1265,145,0.6954286685937765,0.3046964801904438,0.30867437510627443,0.003977894915830615,97.80751572861759,4.2551776908689,87.81437422552665,98.40770755885997,98.96951672862454,0.0007631355211698657,21.509947287876212,79.31474704717425,66.8265364076774,29.668419800097002,37.158116607580396,0.35312416356877324
The Geriatric and Injured,1048,287,974,1728,200,0.768298161672123,0.3321549987408713,0.3359969780911609,0.003841979350289626,114.07177033492823,6.227386048854193,90.08150342529161,100.91179411220143,102.08479911127569,-0.0009904306220095804,21.75774364140015,78.01675198663193,68.57709892146501,31.54737012765282,37.02972879381219,0.4281853360488798
Heaters,1074,277,987,1636,182,0.7224423551533671,0.3146450816782231,0.3165638735456575,0.0019187918674344329,103.39323069690916,5.006569514631566,88.78796448536667,99.35389674449193,95.69039789542913,0.00200070513573864,19.226701139969443,78.87272880397609,70.82209372731423,31.25404697362686,39.56804675368737,0.3792938178230844
jstocs5,938,282,951,1595,188,0.7802808314732143,0.335556640625,0.3384287109375,0.0028720703124999747,117.40513392857143,6.743345424107143,89.77186663922618,100.85762502572547,101.7470672977979,-0.0025754743303571287,22.251674107142858,78.02938211286484,67.88192017865278,32.236543825086834,35.64537635356594,0.41390533031487964
Savannah Bananas,886,185,720,1322,193,0.7248752834467119,0.314540589569161,0.31887891156462583,0.0043383219954648555,102.16235827664399,5.009478458049887,88.81765708200213,99.80971246006389,100.36911608093716,-0.0005109599395313648,19.984882842025698,78.98873182653072,69.37323711967097,31.53694855514945,37.836288564521524,0.38364387646432374
Houston Buffalos,753,204,754,1279,132,0.7836174728529122,0.3390097071405067,0.34081358999670947,0.0018038828562027542,119.79154327081277,5.849967094438961,89.81668257756564,100.55706443914082,108.35775656324583,-0.0005903257650542893,21.043106284962157,78.153866360116,69.3738303445069,32.01030270524775,37.363527639259146,0.418864677804296
Lakeland Flying Tigers,707,196,678,1564,165,0.7278523307247363,0.3157815583531814,0.31686134739707383,0.001079789043892443,102.02126573664512,6.496461381422252,89.508681925809,100.28960799789529,105.34359379110761,-0.0017965294317795132,26.607689690370876,73.31244859075305,72.17446339765714,32.893613658427,39.280849739230135,0.4037876874506709
Moonstars,856,211,871,1552,111,0.7244509617989705,0.31524031427797344,0.31998794364670824,0.004747629368734796,102.81346518558657,5.148591167705228,88.8652131403989,99.34505279624561,99.15975752835354,-0.0024485234353833693,21.024112706583583,78.78765716185923,68.63293581236017,30.785221543478002,37.84771426888217,0.39439303871724674
Rantiago,869,261,921,1780,116,0.7271677393403058,0.31477085009385897,0.32726629123089296,0.012495441137033991,103.09184768034325,6.539662107803701,89.40987357013847,100.2537627934979,100.10295003010235,-0.02052923035666395,23.86698846875838,75.54408579035889,71.3365510092293,32.135860198760426,39.20069081046887,0.4155183624322697
BurghtownOs,772,238,810,1242,55,0.7893202112337975,0.34195199231877094,0.34298255720915344,0.0010305648903825015,121.25732117138742,6.422771643462954,89.72222222222223,100.54010452169962,105.50488525335152,-0.0026250600096015255,19.875180028804607,78.6456879461293,72.11564484819138,30.251539645595752,41.864105202595624,0.4246312201772325
