Team,W+QS,K,SV,HLD,ERA,WHIP,FIP,xFIP,FIP-xFIP,SIERA,ERA-SIERA,K-BB%,Stuff+,Location+,Pitching+,CSW%,Brl%,Hard Hit%,K%,BB%
Bang Bang Scissor Gang,205,1409,149,48,3.4817441296668283,1.185878160282607,3.627581907598531,3.80030338713029,-0.17272147953175887,3.802288564106116,-0.3205444344392876,16.46415722851432,103.52566348427783,101.65897346062889,102.41757904878689,27.84869054918105,778.4,38.8729696969697,23.440156562291808,6.984510326449034
Aidand4,129,1118,7,41,3.982955848884843,1.1874878470641785,4.0122312243969045,4.042549840691851,-0.03031861629494692,3.9514729176149306,0.031482931269912307,15.794330465475403,107.45835879771099,98.88093782987944,101.36079782210123,28.15733651869548,791.3765182186235,38.21923076923077,24.433598058680786,8.619545554820208
Montgomery Biscuits,224,1677,94,89,3.397216037027771,1.1557707655741807,3.4702583187390537,3.6926100825619215,-0.2223517638228678,3.6661552414310727,-0.2689392044033019,17.198346075830862,106.51700761654105,100.91242971647326,103.55536946205686,28.143984527654823,768.1650071123754,38.58771929824562,25.14027149321267,7.949274457793728
Florence Y'alls,183,1392,79,82,3.713910133843213,1.1641410816716744,4.087338158972959,3.9592413275061467,0.1280968314668125,3.8758590549030325,-0.16194892105981973,15.989089703200133,98.61782760678659,100.7735101031631,100.21451104100946,27.25176059340097,821.0231102551759,38.917140105922,22.976819764549827,6.967899187531089
The Authority,153,1160,33,60,4.073326706428099,1.2768220675944335,3.890260934393639,3.852166998011929,0.03809393638170988,3.918850231941683,0.15447647448641577,14.979300864100553,101.2624281536755,101.66673389129777,101.35408893818695,26.955077140264194,724.2415569547796,38.81164854035488,22.6481932443048,7.650824823252162
The Geriatric and Injured,198,1672,59,1,3.9957899231426133,1.2766560936928142,4.149460168354275,4.1262760766133955,0.02318409174087943,4.043319507136758,-0.04752958399414453,15.498677590915623,99.84375677825176,100.1993709782373,99.7735521654255,27.876549056467354,843.4321575416576,38.762302531919495,23.91427339370418,8.424392698002013
Heaters,169,1236,53,7,4.093762500925994,1.2817366471590488,4.106843469886658,4.042289058448774,0.06455441143788399,4.098065041854952,-0.004302540928957654,14.332677787532925,96.35781467980739,100.87075289140903,100.15386346249043,27.029944646955585,784.4137584735123,38.517624905849864,21.702985074626863,7.381878841088674
jstocs5,172,1497,62,116,3.649972208712569,1.1788256791495866,3.766193288404086,3.7301584103383596,0.03603487806572625,3.6852879872160087,-0.0353157785034397,17.630254237288135,106.13243753756332,100.79024641538594,101.98390143384563,28.498420194041387,859.8726439123791,40.82333163525217,25.01333898305085,7.403474576271186
Savannah Bananas,173,1583,28,113,3.604135698562734,1.1736137511329792,3.85081250809271,3.8141557684837495,0.03665673960896054,3.732002460183866,-0.12786676162113197,16.911780604133547,100.4717986255134,101.09759668171282,101.00321255743971,28.516884225936316,827.4725536992842,37.7016706443914,24.49384737678855,7.580953895071541
Houston Buffalos,152,1274,75,74,3.5558905937291536,1.1397934456304204,3.691908772515011,3.669403769179453,0.022505003335557827,3.6702668445630433,-0.11437625083388969,17.64221587431137,104.32813067150636,100.00917811770806,101.90547057298419,28.086533575317606,798.4571788413098,38.028872795969775,25.830014282799432,8.183697204652114
Lakeland Flying Tigers,141,1194,19,36,3.930223288268644,1.2078395115569123,3.851975577845617,3.876607937200175,-0.024632359354558098,3.826939380723942,0.10328390754470185,17.502866708516425,102.84943027672273,100.79283776451437,100.37352143244709,27.918952794357025,800.9268600252207,38.16938839848675,24.729483155471858,7.219062565390249
Moonstars,215,1521,43,23,3.795639955662777,1.147533807133077,3.879884592814762,3.8444976201343164,0.03538697268044544,3.8315844037295435,-0.035944448066766554,16.90364359586317,103.31252325629471,100.25360730971182,101.93202960267912,28.48408649274404,813.287286349801,39.37682041676422,23.96878281622912,7.091312649164677
Rantiago,152,1142,39,14,3.801627544320421,1.1958399540380829,3.822574688115562,3.8991940249507557,-0.07661933683519395,3.940594221930401,-0.13896667760998005,15.481589377724932,101.91426527692622,101.87625178826896,102.80824647455549,27.759922338033924,813.2821387940842,37.452559726962455,22.56389219183512,7.099583828775268
BurghtownOs,250,1760,33,106,3.391163763066202,1.129141892254087,3.601797373358348,3.753818279281694,-0.15202090592334594,3.7300852318413287,-0.33892146877512674,16.078345532385033,96.93092329189209,101.50481888861023,99.99387338325391,28.14194761921823,746.3816183816184,37.367492507492514,22.977820742991298,6.895815495097362
