,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,AVG,OBP,SLG,OPS,ISO,BABIP,wOBA,wRC+,LD%,GB%,FB%,IFFB%,Pull%,SwStr%,PlayerId,EDB Team,TWTC Team,BL Team
0,Juan Yepez,WSN,AAA,26,74,274,319,72,46,15,0,11,38,41,40,45,2,3,2,0.125391849,0.14106583,0.262773722,0.357366771,0.437956204,0.795322975,0.175182482,0.276018099,0.356568945238956,107.241702244574,0.222707423,0.366812227,0.410480349,0.234042553,0.43103448,0.0806962,18400,,Tanner Houck Tuah,
1,Brendon Davis,LAD,"AA,AAA",26,101,348,413,83,52,22,1,8,66,45,50,95,10,14,0,0.121065375,0.230024213,0.238505747,0.346246973,0.376436781,0.722683754,0.137931034,0.3,0.338133501082875,105.714540511339,0.231075697,0.322709163,0.446215139,0.214285714,0.5019305,0.11137441,18587,,,
2,Estevan Florial,CLE,AAA,26,38,108,128,28,20,4,0,4,24,17,19,36,1,18,1,0.1484375,0.28125,0.259259259,0.375,0.407407407,0.782407407,0.148148148,0.352941176,0.359522632788866,109.134946131621,0.352112676,0.28169014,0.366197183,0.23076923,0.43055556,0.16697588,19151,,,
3,Yonny Hernandez,MIL,AAA,26,81,278,322,67,55,7,3,2,35,32,35,57,4,13,8,0.108695652,0.177018633,0.241007194,0.333333333,0.309352517,0.64268585,0.068345323,0.295454545,0.304378101848206,73.7886055511297,0.220183486,0.495412844,0.284403669,0.129032258,0.36725664,0.08413462,19432,,,
4,Simon Muzziotti,PHI,"A+,AAA",25,65,232,256,52,34,9,4,5,29,25,20,52,1,5,1,0.078125,0.203125,0.224137931,0.286274509,0.362068965,0.648343474,0.137931034,0.265536723,0.289403160960655,65.2867561840382,0.2,0.466666666,0.333333333,0.233333333,0.3715847,0.07789679,19553,,,
5,Carlos Narvaez,NYY,AAA,25,71,253,308,68,42,17,0,9,45,47,45,78,6,8,1,0.146103896,0.253246753,0.268774703,0.386363636,0.442687747,0.829051383,0.173913044,0.347058823,0.373600397125517,118.158460238408,0.269662921,0.393258426,0.337078651,0.216666666,0.46927374,0.12133228,19722,,,
6,Diego A. Castillo,MIN,AAA,26,86,293,348,81,54,19,2,6,46,32,47,47,4,9,3,0.135057471,0.135057471,0.276450511,0.379310344,0.416382252,0.795692596,0.139931741,0.307377049,0.362537978366873,111.067711356931,0.213709677,0.439516129,0.346774193,0.174418604,0.428,0.05978648,19906,,,
7,Josh Lowe,TBR,AAA,26,13,51,55,13,9,0,1,3,7,13,4,24,0,0,0,0.072727272,0.436363636,0.25490196,0.309090909,0.470588235,0.779679144,0.215686275,0.416666666,0.339359522949565,96.2108694301857,0.259259259,0.296296296,0.444444444,0.25,0.18518519,0.14285714,19953,Florence Y'alls,Tucker Good Then Naylor,Moneyball
8,Carter Kieboom,WSN,AAA,26,81,267,316,69,50,14,0,5,45,33,42,62,4,3,2,0.132911392,0.196202531,0.258426966,0.36392405,0.367041198,0.730965248,0.108614232,0.315270935,0.339804866645909,96.4963242105208,0.226600985,0.394088669,0.379310344,0.311688311,0.45454545,0.10239472,19958,,,
9,Taylor Trammell,NYY,AAA,26,74,230,278,57,27,16,0,14,44,45,44,79,3,11,3,0.158273381,0.284172661,0.247826086,0.374100719,0.5,0.874100719,0.252173914,0.311594202,0.385604539792314,125.852831880339,0.271523178,0.304635761,0.423841059,0.25,0.40789474,0.14909091,19960,,,
