,Name,Team,Level,Age,ERA,GS,IP,H,R,ER,HR,BB,HBP,SO,K%,BB%,K-BB%,WHIP,BABIP,LOB%,FIP,xFIP,GB%,SwStr%,Balls,Strikes,PlayerId,EDB Team,TWTC Team,BL Team
0,Kolby Allard,PHI,"AA,AAA",26,5.46982808086879,14,77.1,92,60,47,15,31,1,76,0.21529745,0.0878187,0.12747875,1.59051738521716,0.33478261,0.62135922,5.294367097658,4.67008477785344,0.381742738,0.10800604,466,858,18694,,Tokyo Airport Sushi,
1,Jose Suarez,LAA,AAA,26,7.71428652273812,7,30.1,40,30,26,7,8,2,35,0.24305556,0.05555556,0.1875,1.58241774825397,0.35869565,0.49751244,5.5608151458194,4.69222686054083,0.29347826,0.13263525,203,370,19911,,,
2,Ian Anderson,ATL,"A,A+,AAA,CPX",26,3.55263157894736,9,38.0,34,15,15,3,12,1,33,0.21019108,0.07643312,0.13375796,1.21052631578947,0.28703704,0.74766355,3.87817161976274,3.87099182973333,0.558558558,0.11785714,208,352,19951,,Greenville Drive,
3,Deivi Garcia,CHW,AAA,25,7.46808586405549,0,31.1,30,27,26,4,22,4,37,0.25874126,0.15384615,0.10489511,1.65957463645677,0.34210526,0.57539683,5.29248486856036,4.92188325141415,0.394736842,0.13286713,229,343,20276,,,
4,Matt Manning,DET,AAA,26,4.52513927906063,11,59.2,56,31,30,9,22,0,60,0.24,0.088,0.152,1.30726245839529,0.29559748,0.71865443,4.56111647646465,4.50782394530428,0.413173652,0.1026694,339,635,20369,BurghtownOs,,
5,Edwin Uceta,TBR,AAA,26,5.76699114560486,0,34.1,38,25,22,8,16,2,47,0.29746835,0.10126582,0.19620253,1.57281576698314,0.35294118,0.69196429,5.36932859073793,4.53248006095048,0.315217391,0.16139241,229,403,20539,,,
6,Tyler Phillips,PHI,AAA,26,4.89130434782608,15,92.0,93,53,50,9,37,1,78,0.19796954,0.09390863,0.10406091,1.41304347826086,0.31226766,0.65878378,4.32046803598818,4.32581403359122,0.509225092,0.10243902,510,925,20629,,Tanner Houck Tuah,
7,Francisco Perez,OAK,"AAA,CPX",26,7.21551629224102,0,38.2,48,32,31,9,22,0,57,0.31147541,0.12021858,0.19125683,1.81034458945115,0.41052632,0.66202091,5.72740379804972,4.27805168639987,0.446601941,0.17076503,280,452,21018,,,
8,Humberto Castellanos,ARI,AAA,26,4.59278422763222,13,64.2,51,33,33,17,30,1,67,0.24542125,0.10989011,0.13553114,1.25257751662697,0.21518987,0.8419244,6.66300188080393,5.44500500627106,0.38372093,0.10179076,417,644,21183,,,
9,Yerry De Los Santos,NYY,AAA,26,4.32824377065833,1,43.2,52,29,21,8,17,1,43,0.2160804,0.08542714,0.13065327,1.58015248770066,0.33846154,0.69727891,5.15410541445844,4.45408400429053,0.455882352,0.11618799,268,498,21420,,,
10,Konnor Pilkington,ARI,AAA,26,6.71573708095447,17,65.2,83,50,49,7,44,2,63,0.2,0.13968254,0.06031746,1.93401045188484,0.38190955,0.66275168,5.44802445006443,5.8063168055007,0.441747572,0.12441315,490,788,21453,,,
11,Kris Bubic,KCR,"AA,AAA,CPX",26,3.53271093371874,10,35.2,33,14,14,2,13,1,42,0.2781457,0.08609272,0.19205298,1.28971986469096,0.33333333,0.74660633,3.15878537347222,3.83356060097289,0.44680851,0.1458671,211,406,21455,,,
12,Riley Pint,COL,"AAA,CPX",26,2.90322580645161,0,31.0,17,10,10,0,28,6,54,0.38848921,0.20143885,0.18705036,1.4516129032258,0.33333333,0.80392157,3.73868839817662,4.72257975359116,0.431372549,0.14137931,253,327,21858,,,
13,George Soriano,MIA,AAA,25,4.66363571671423,0,36.2,28,19,19,8,16,1,41,0.27333333,0.10666667,0.16666667,1.1999998335405,0.23809524,0.76923077,5.49615945942149,3.96155212667141,0.494382022,0.13816926,208,371,21863,,,
14,Jordan Balazovic,MIN,AAA,25,5.60377439157369,1,35.1,38,25,22,3,15,1,49,0.3006135,0.09202454,0.20858896,1.50000021592629,0.36842105,0.58232932,3.19392984515196,3.12929391408589,0.561797752,0.1450858,227,414,21866,,,
15,Max Castillo,PHI,"AA,AAA",25,7.61538461538461,13,52.0,67,50,44,12,25,1,40,0.16393443,0.10245902,0.06147541,1.76923076923076,0.3313253,0.56430446,6.4539746256975,5.52094876267589,0.356321839,0.0818084,363,566,21956,,,
16,Max Kranick,NYM,"A,AA,AAA",26,3.81176448402934,7,56.2,57,28,24,9,20,1,52,0.21138211,0.08130081,0.1300813,1.35882345032527,0.29268293,0.76452599,4.83974909117248,4.9854593874219,0.366863905,0.11764706,323,595,22175,,,
17,DL Hall,MIL,"A+,AAA",25,2.78350542830491,13,32.1,29,13,10,3,20,2,29,0.20138889,0.13888889,0.0625,1.51546406652156,0.28888889,0.81196581,4.95693322719324,5.45407645586356,0.397849462,0.0957265,225,360,22207,,Tucker Good Then Naylor,Gus’s Goons
18,Sean Reynolds,SDP,AAA,26,6.12,3,50.0,53,38,34,4,32,2,63,0.27155172,0.13793103,0.13362069,1.7,0.3740458,0.6019656,4.43949628829956,4.98810855418443,0.458015267,0.1323693,336,563,22253,,,
19,Shane Baz,TBR,AAA,25,4.11864460038584,10,39.1,39,18,18,2,23,3,44,0.24719101,0.12921348,0.11797753,1.57627139027112,0.3490566,0.75562701,3.91203035830219,4.9312463047418,0.345794392,0.12056738,252,453,22264,Montgomery Biscuits,Super Duper Melonheads,Gus’s Goons
20,Owen White,TEX,AAA,24,5.76404494382022,15,89.0,94,59,57,14,41,6,72,0.18181818,0.10353535,0.07828283,1.51685393258426,0.30418251,0.67545305,5.89073224335574,5.73452263002315,0.437956204,0.10047202,535,948,22273,,,
21,Mason Englert,DET,"A,A+,AAA",24,2.75510177270716,3,32.2,26,11,10,5,15,2,43,0.31617647,0.11029412,0.20588235,1.2551019186777,0.29577465,0.88888889,4.42239396448011,3.62674446908094,0.493333333,0.17179024,206,347,22288,,,
22,Brenan Hanifee,DET,AAA,26,5.17021276595744,0,47.0,47,29,27,6,14,1,53,0.25980392,0.06862745,0.19117647,1.29787234042553,0.31538462,0.61567164,3.86695277234341,3.37917183929301,0.56060606,0.0993865,272,543,22304,,,
23,Chris Rodriguez,ARI,"AA,AAA,CPX",25,5.49557475743464,1,37.2,38,25,23,5,29,2,36,0.20689655,0.16666667,0.04022989,1.77876091182667,0.32352941,0.70967742,6.19273228322628,5.77688242733384,0.40776699,0.12006079,275,383,22310,,,
24,Josh Winckowski,BOS,AAA,26,2.87234071694442,6,31.1,33,16,10,1,6,1,29,0.21014493,0.04347826,0.16666667,1.24468097734258,0.31683168,0.62176166,2.73929312016532,3.55478279766576,0.49484536,0.09580838,169,332,22387,,,
25,Michel Otanez,OAK,AAA,26,5.35135135135135,0,37.0,30,23,22,2,25,7,55,0.32163743,0.14619883,0.1754386,1.48648648648648,0.34146341,0.65878378,4.20382061262388,4.54954209545174,0.451219512,0.13472222,288,432,22533,,,
26,Keider Montero,DET,AAA,23,5.02758673596472,13,48.1,52,28,27,5,30,2,54,0.24107143,0.13392857,0.10714286,1.69655190267122,0.35338346,0.72727273,4.60180248421524,5.11810633936465,0.377777777,0.1091314,351,547,22630,,Hoerner for Nico,
27,Keider Montero,DET,AAA,23,5.02758673596472,13,48.1,52,28,27,5,30,2,54,0.24107143,0.13392857,0.10714286,1.69655190267122,0.35338346,0.72727273,4.60180248421524,5.11810633936465,0.377777777,0.1091314,351,547,22630,,Wander if she's Legal,
28,Keider Montero,DET,AAA,23,5.02758673596472,13,48.1,52,28,27,5,30,2,54,0.24107143,0.13392857,0.10714286,1.69655190267122,0.35338346,0.72727273,4.60180248421524,5.11810633936465,0.377777777,0.1091314,351,547,22630,,Hoerner for Nico,
29,Keider Montero,DET,AAA,23,5.02758673596472,13,48.1,52,28,27,5,30,2,54,0.24107143,0.13392857,0.10714286,1.69655190267122,0.35338346,0.72727273,4.60180248421524,5.11810633936465,0.377777777,0.1091314,351,547,22630,,Wander if she's Legal,
30,Keider Montero,DET,AAA,23,5.02758673596472,13,48.1,52,28,27,5,30,2,54,0.24107143,0.13392857,0.10714286,1.69655190267122,0.35338346,0.72727273,4.60180248421524,5.11810633936465,0.377777777,0.1091314,351,547,22630,,Hoerner for Nico,
31,Keider Montero,DET,AAA,23,5.02758673596472,13,48.1,52,28,27,5,30,2,54,0.24107143,0.13392857,0.10714286,1.69655190267122,0.35338346,0.72727273,4.60180248421524,5.11810633936465,0.377777777,0.1091314,351,547,22630,,Wander if she's Legal,
32,Keider Montero,DET,AAA,23,5.02758673596472,13,48.1,52,28,27,5,30,2,54,0.24107143,0.13392857,0.10714286,1.69655190267122,0.35338346,0.72727273,4.60180248421524,5.11810633936465,0.377777777,0.1091314,351,547,22630,,Hoerner for Nico,
33,Keider Montero,DET,AAA,23,5.02758673596472,13,48.1,52,28,27,5,30,2,54,0.24107143,0.13392857,0.10714286,1.69655190267122,0.35338346,0.72727273,4.60180248421524,5.11810633936465,0.377777777,0.1091314,351,547,22630,,Wander if she's Legal,
34,Keider Montero,DET,AAA,23,5.02758673596472,13,48.1,52,28,27,5,30,2,54,0.24107143,0.13392857,0.10714286,1.69655190267122,0.35338346,0.72727273,4.60180248421524,5.11810633936465,0.377777777,0.1091314,351,547,22630,,Hoerner for Nico,
35,Keider Montero,DET,AAA,23,5.02758673596472,13,48.1,52,28,27,5,30,2,54,0.24107143,0.13392857,0.10714286,1.69655190267122,0.35338346,0.72727273,4.60180248421524,5.11810633936465,0.377777777,0.1091314,351,547,22630,,Wander if she's Legal,
36,Keider Montero,DET,AAA,23,5.02758673596472,13,48.1,52,28,27,5,30,2,54,0.24107143,0.13392857,0.10714286,1.69655190267122,0.35338346,0.72727273,4.60180248421524,5.11810633936465,0.377777777,0.1091314,351,547,22630,,Hoerner for Nico,
37,Keider Montero,DET,AAA,23,5.02758673596472,13,48.1,52,28,27,5,30,2,54,0.24107143,0.13392857,0.10714286,1.69655190267122,0.35338346,0.72727273,4.60180248421524,5.11810633936465,0.377777777,0.1091314,351,547,22630,,Wander if she's Legal,
38,Keider Montero,DET,AAA,23,5.02758673596472,13,48.1,52,28,27,5,30,2,54,0.24107143,0.13392857,0.10714286,1.69655190267122,0.35338346,0.72727273,4.60180248421524,5.11810633936465,0.377777777,0.1091314,351,547,22630,,Hoerner for Nico,
39,Keider Montero,DET,AAA,23,5.02758673596472,13,48.1,52,28,27,5,30,2,54,0.24107143,0.13392857,0.10714286,1.69655190267122,0.35338346,0.72727273,4.60180248421524,5.11810633936465,0.377777777,0.1091314,351,547,22630,,Wander if she's Legal,
40,Keider Montero,DET,AAA,23,5.02758673596472,13,48.1,52,28,27,5,30,2,54,0.24107143,0.13392857,0.10714286,1.69655190267122,0.35338346,0.72727273,4.60180248421524,5.11810633936465,0.377777777,0.1091314,351,547,22630,,Hoerner for Nico,
